Hello,a1,b1,c1
Paris2,a2,b2,c2
Paris3,a3,b3,c3
Paris4,a4,b4,c4
Paris5,a5,b5,c5
Paris6,a6,b6,c6
Paris7,a7,b7,c7
Paris8,a8,b8,c8
Paris9,a9,b9,c9
Paris10,a10,b10,c10
Paris11,a11,b11,c11
Paris12,a12,b12,c12
Paris13,a13,b13,c13
Paris14,a14,b14,c14
Paris15,a15,b15,c15
Paris16,a16,b16,c16
Paris17,a17,b17,c17
Paris18,a18,b18,c18
Paris19,a19,b19,c19
Paris20,a20,b20,c20
Paris21,a21,b21,c21
Paris22,a22,b22,c22
Paris23,a23,b23,c23
Paris24,a24,b24,c24
Paris25,a25,b25,c25
Paris26,a26,b26,c26
Paris27,a27,b27,c27
Paris28,a28,b28,c28
Paris29,a29,b29,c29
Paris30,a30,b30,c30
Paris31,a31,b31,c31
Paris32,a32,b32,c32
Paris33,a33,b33,c33
Paris34,a34,b34,c34
Paris35,a35,b35,c35
Paris36,a36,b36,c36
Paris37,a37,b37,c37
Paris38,a38,b38,c38
Paris39,a39,b39,c39
Paris40,a40,b40,c40
Paris41,a41,b41,c41
Paris42,a42,b42,c42
Paris43,a43,b43,c43
Paris44,a44,b44,c44
Paris45,a45,b45,c45
Paris46,a46,b46,c46
Paris47,a47,b47,c47
Paris48,a48,b48,c48
Paris49,a49,b49,c49
Paris50,a50,b50,c50
